Employee ID,Employee Name,2024 Review 2_ef,2024 Review 2_mr,2024 Review 1_ef,2024 Review 1_mr,2023 Review 2_ef,2023 Review 2_mr,2023 Review 1_ef,2023 Review 1_mr,2022 Review 2_ef,2022 Review 2_mr,2022 Review 1_ef,2022 Review 1_mr,2021 Review 2_ef,2021 Review 2_mr,2021 Review 1_ef,2021 Review 1_mr,2020 Review 2_ef,2020 Review 2_mr,2020 Review 1_ef,2020 Review 1_mr,2019 Review 2_ef,2019 Review 2_mr,2019 Review 1_ef,2019 Review 1_mr,2018 Review 2_ef,2018 Review 2_mr,2018 Review 1_ef,2018 Review 1_mr,2017 Review 2_ef,2017 Review 2_mr,2017 Review 1_ef,2017 Review 1_mr,2016 Review 2_ef,2016 Review 2_mr,2016 Review 1_ef,2016 Review 1_mr,2015 Review 2_ef,2015 Review 2_mr,2015 Review 1_ef,2015 Review 1_mr
E0001,Employee_1,I've learned a lot from the great leadership and mentorship. Encourages me to stay longer.,"Employee shows remarkable promise despite current performance gaps. With mentoring and tailored opportunities, they could excel. Adapted well to new tools and workflows.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0002,Employee_2,I'm disappointed by long hours and feeling burned out. Would like to see some changes.,Employee shows potential but struggles with performance consistency. Structured guidance could help stabilize results. Exhibited creativity and innovation in their recent assignments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0003,Employee_3,It's great working with the flexible hours and remote work options. Makes me feel valued and supported.,Employee exhibits both competence and potential. Targeted challenges and responsibilities can further accelerate their growth. Demonstrates excellent communication and problem-solving skills.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0004,Employee_4,Always impressed by the time autonomy and reasonable workload. Encourages me to stay longer.,"Employee performs steadily and is a dependable team member. With focused development, they could take on more responsibilities. Requires more consistency in delivering high-stakes projects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0005,Employee_5,I feel a bit challenged working with poor leadership and lack of feedback. Hope this improves over time.,"Employee shows remarkable promise despite current performance gaps. With mentoring and tailored opportunities, they could excel. Requires more consistency in delivering high-stakes projects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0006,Employee_6,I'm grateful for the bonuses and great insurance options. Promotes healthy work-life balance.,Employee achieves high-quality outcomes but does not exhibit potential for leadership. Further skill development is recommended. Should work on aligning personal goals with team objectives.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0007,Employee_7,Unhappy with lack of mental health and wellness support. This is causing dissatisfaction.,"Employee shows remarkable promise despite current performance gaps. With mentoring and tailored opportunities, they could excel. Exceeds expectations in task ownership and accountability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0008,Employee_8,I've noticed issues with long hours and feeling burned out. This is causing dissatisfaction.,Employee exhibits both competence and potential. Targeted challenges and responsibilities can further accelerate their growth. They actively contribute to cross-functional teams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0009,Employee_9,Sometimes it's hard to align with a cliquish teams and unsafe workplace. Makes me consider leaving.,"Employee performs steadily and is a dependable team member. With focused development, they could take on more responsibilities. Requires more consistency in delivering high-stakes projects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0010,Employee_10,I admire the bonuses and great insurance options. Promotes healthy work-life balance.,Employee shows potential but struggles with performance consistency. Structured guidance could help stabilize results. Exceeds expectations in task ownership and accountability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0011,Employee_11,I feel a bit challenged working with not being appreciated or valued. Affects overall morale.,Employee exhibits both competence and potential. Targeted challenges and responsibilities can further accelerate their growth. Requires more consistency in delivering high-stakes projects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0012,Employee_12,Happy to have the inclusive and team-oriented culture. Promotes healthy work-life balance.,Employee exhibits both competence and potential. Targeted challenges and responsibilities can further accelerate their growth. Exceeds expectations in task ownership and accountability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0013,Employee_13,It's great working with the bonuses and great insurance options. Fosters a sense of belonging.,Employee achieves high-quality outcomes but does not exhibit potential for leadership. Further skill development is recommended. They actively contribute to cross-functional teams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0014,Employee_14,There are moments where not being appreciated or valued. Affects overall morale.,Employee consistently delivers outstanding results and is an asset to the team. Encouraging broader skills development will unlock more potential. Their leadership potential is evident and should be nurtured.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0015,Employee_15,Always impressed by the inclusive and team-oriented culture. Encourages me to stay longer.,"Employee performs steadily and is a dependable team member. With focused development, they could take on more responsibilities. Requires more consistency in delivering high-stakes projects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0016,Employee_16,I really appreciate how I'm recognized for my work and get feedback. Encourages me to stay longer.,Employee delivers acceptable results but lacks the motivation to exceed expectations. Encouragement and clear goals may improve engagement. Adapted well to new tools and workflows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0017,Employee_17,Love the way how I'm recognized for my work and get feedback. Keeps me motivated and satisfied.,Employee exhibits both competence and potential. Targeted challenges and responsibilities can further accelerate their growth. Demonstrates excellent communication and problem-solving skills.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0018,Employee_18,It's been difficult collaborating with not being appreciated or valued. Hope this improves over time.,Employee consistently delivers outstanding results and is an asset to the team. Encouraging broader skills development will unlock more potential. Exceeds expectations in task ownership and accountability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
