sentence,label
I've learned a lot from the great leadership and mentorship. Encourages me to stay longer.,positive
I'm disappointed by long hours and feeling burned out. Would like to see some changes.,negative
It's great working with the flexible hours and remote work options. Makes me feel valued and supported.,positive
Always impressed by the time autonomy and reasonable workload. Encourages me to stay longer.,positive
I feel a bit challenged working with poor leadership and lack of feedback. Hope this improves over time.,negative
I'm grateful for the bonuses and great insurance options. Promotes healthy work-life balance.,positive
Unhappy with lack of mental health and wellness support. This is causing dissatisfaction.,negative
I've noticed issues with long hours and feeling burned out. This is causing dissatisfaction.,negative
Sometimes it's hard to align with a cliquish teams and unsafe workplace. Makes me consider leaving.,negative
I admire the bonuses and great insurance options. Promotes healthy work-life balance.,positive
I feel a bit challenged working with not being appreciated or valued. Affects overall morale.,negative
Happy to have the inclusive and team-oriented culture. Promotes healthy work-life balance.,positive
It's great working with the bonuses and great insurance options. Fosters a sense of belonging.,positive
There are moments where not being appreciated or valued. Affects overall morale.,negative
Always impressed by the inclusive and team-oriented culture. Encourages me to stay longer.,positive
I really appreciate how I'm recognized for my work and get feedback. Encourages me to stay longer.,positive
Love the way how I'm recognized for my work and get feedback. Keeps me motivated and satisfied.,positive
It's been difficult collaborating with not being appreciated or valued. Hope this improves over time.,negative
I've noticed issues with no growth opportunities or promotions. Affects overall morale.,negative
I'm disappointed by poor leadership and lack of feedback. Hope this improves over time.,negative
I'm disappointed by being poor salary package and the salary not being competitive. This is causing dissatisfaction.,negative
I've learned a lot from the flexible hours and remote work options. Keeps me motivated and satisfied.,positive
There are moments where lack of mental health and wellness support. Affects overall morale.,negative
Sometimes it's hard to align with no growth opportunities or promotions. This is causing dissatisfaction.,negative
I'm grateful for the great leadership and mentorship. Keeps me motivated and satisfied.,positive
Often frustrated due to management is clueless and lack of feedback. Makes me consider leaving.,negative
I'm grateful for the opportunities for upskilling and growth path. Keeps me motivated and satisfied.,positive
I'm disappointed by not being appreciated or valued. Would like to see some changes.,negative
Unhappy with no growth opportunities or promotions. Affects overall morale.,negative
It's great working with how I'm recognized for my work and get feedback. Keeps me motivated and satisfied.,positive
Unhappy with poor leadership and lack of feedback. Affects overall morale.,negative
It's great working with the wellness programs and mental health support. Makes me feel valued and supported.,positive
Always impressed by the competitive salary and good benefits. Promotes healthy work-life balance.,positive
It's great working with the wellness programs and mental health support. Promotes healthy work-life balance.,positive
I really appreciate the inclusive and team-oriented culture. Fosters a sense of belonging.,positive
Always impressed by the flexible hours and remote work options. Fosters a sense of belonging.,positive
It's great working with the wellness programs and mental health support. Promotes healthy work-life balance.,positive
I really appreciate the great leadership and mentorship. Keeps me motivated and satisfied.,positive
I really appreciate the inclusive and team-oriented culture. Promotes healthy work-life balance.,positive
I admire the competitive salary and good benefits. Encourages me to stay longer.,positive
I admire the opportunities for clear career ladder and training support. Keeps me motivated and satisfied.,positive
I've learned a lot from the competitive salary and good benefits. Makes me feel valued and supported.,positive
I'm grateful for the opportunities for upskilling and growth path. Encourages me to stay longer.,positive
I feel a bit challenged working with constant changes with no communication. Hope this improves over time.,negative
Unhappy with lack of mental health and wellness support. Affects overall morale.,negative
Love the way the flexible hours and remote work options. Keeps me motivated and satisfied.,positive
I've learned a lot from the competitive salary and good benefits. Promotes healthy work-life balance.,positive
Happy to have the inclusive and team-oriented culture. Promotes healthy work-life balance.,positive
There are moments where a toxic culture and unfair treatment. Affects overall morale.,negative
Always impressed by the competitive salary and good benefits. Makes me feel valued and supported.,positive
I've noticed issues with a toxic culture and unfair treatment. Would like to see some changes.,negative
I'm grateful for the great leadership and mentorship. Encourages me to stay longer.,positive
I really appreciate the inclusive and team-oriented culture. Fosters a sense of belonging.,positive
Often frustrated due to lack of guidance and lack of feedback. Would like to see some changes.,negative
There are moments where poor leadership and lack of feedback. Would like to see some changes.,negative
I've noticed issues with not being appreciated or valued. This is causing dissatisfaction.,negative
Sometimes it's hard to align with lack of mental health and wellness support. Hope this improves over time.,negative
I feel a bit challenged working with constant changes with no communication. Would like to see some changes.,negative
