Employee ID,Employee Name,2024 Review 2,2024 Review 1,2023 Review 2,2023 Review 1,2022 Review 2,2022 Review 1,2021 Review 2,2021 Review 1,2020 Review 2,2020 Review 1,2019 Review 2,2019 Review 1,2018 Review 2,2018 Review 1,2017 Review 2,2017 Review 1,2016 Review 2,2016 Review 1,2015 Review 2,2015 Review 1
E0001,Employee_1,positive,,,,,,,,,,,,,,,,,,,
E0002,Employee_2,positive,,,,,,,,,,,,,,,,,,,
E0003,Employee_3,negative,,,,,,,,,,,,,,,,,,,
E0004,Employee_4,positive,,,,,,,,,,,,,,,,,,,
E0005,Employee_5,negative,,,,,,,,,,,,,,,,,,,
E0006,Employee_6,negative,,,,,,,,,,,,,,,,,,,
E0007,Employee_7,positive,,,,,,,,,,,,,,,,,,,
E0008,Employee_8,positive,,,,,,,,,,,,,,,,,,,
E0009,Employee_9,positive,,,,,,,,,,,,,,,,,,,
E0010,Employee_10,negative,,,,,,,,,,,,,,,,,,,
E0011,Employee_11,positive,,,,,,,,,,,,,,,,,,,
E0012,Employee_12,positive,,,,,,,,,,,,,,,,,,,
E0013,Employee_13,negative,,,,,,,,,,,,,,,,,,,
E0014,Employee_14,positive,,,,,,,,,,,,,,,,,,,
E0015,Employee_15,negative,,,,,,,,,,,,,,,,,,,
E0016,Employee_16,positive,,,,,,,,,,,,,,,,,,,
E0017,Employee_17,positive,,,,,,,,,,,,,,,,,,,
E0018,Employee_18,negative,,,,,,,,,,,,,,,,,,,
E0019,Employee_19,positive,,,,,,,,,,,,,,,,,,,
E0020,Employee_20,positive,,,,,,,,,,,,,,,,,,,
E0021,Employee_21,negative,negative,,,,,,,,,,,,,,,,,,
E0022,Employee_22,negative,positive,,,,,,,,,,,,,,,,,,
E0023,Employee_23,positive,positive,,,,,,,,,,,,,,,,,,
E0024,Employee_24,negative,positive,,,,,,,,,,,,,,,,,,
E0025,Employee_25,negative,positive,,,,,,,,,,,,,,,,,,
E0026,Employee_26,positive,negative,,,,,,,,,,,,,,,,,,
E0027,Employee_27,positive,positive,,,,,,,,,,,,,,,,,,
E0028,Employee_28,negative,positive,,,,,,,,,,,,,,,,,,
E0029,Employee_29,positive,negative,,,,,,,,,,,,,,,,,,
E0030,Employee_30,negative,positive,,,,,,,,,,,,,,,,,,
E0031,Employee_31,negative,negative,,,,,,,,,,,,,,,,,,
E0032,Employee_32,positive,negative,,,,,,,,,,,,,,,,,,
E0033,Employee_33,positive,negative,,,,,,,,,,,,,,,,,,
E0034,Employee_34,positive,positive,,,,,,,,,,,,,,,,,,
E0035,Employee_35,negative,negative,,,,,,,,,,,,,,,,,,
E0036,Employee_36,positive,negative,,,,,,,,,,,,,,,,,,
E0037,Employee_37,positive,positive,,,,,,,,,,,,,,,,,,
E0038,Employee_38,positive,positive,,,,,,,,,,,,,,,,,,
E0039,Employee_39,positive,positive,,,,,,,,,,,,,,,,,,
E0040,Employee_40,negative,positive,,,,,,,,,,,,,,,,,,
E0041,Employee_41,negative,negative,negative,,,,,,,,,,,,,,,,,
E0042,Employee_42,negative,negative,negative,,,,,,,,,,,,,,,,,
E0043,Employee_43,negative,positive,positive,,,,,,,,,,,,,,,,,
E0044,Employee_44,positive,positive,positive,,,,,,,,,,,,,,,,,
